code_name,code,name
111CA_Farms,111CA,Farms
113FF_Forestry_fishing_and_related_activities,113FF,Forestry_fishing_and_related_activities
211_Oil_and_gas_extraction,211,Oil_and_gas_extraction
212_Mining_except_oil_and_gas,212,Mining_except_oil_and_gas
213_Support_activities_for_mining,213,Support_activities_for_mining
22_Utilities,22,Utilities
23_Construction,23,Construction
321_Wood_products,321,Wood_products
327_Nonmetallic_mineral_products,327,Nonmetallic_mineral_products
331_Primary_metals,331,Primary_metals
332_Fabricated_metal_products,332,Fabricated_metal_products
333_Machinery,333,Machinery
334_Computer_and_electronic_products,334,Computer_and_electronic_products
335_Electrical_equipment_appliances_and_components,335,Electrical_equipment_appliances_and_components
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3361MV,Motor_vehicles_bodies_and_trailers_and_parts
3364OT_Other_transportation_equipment,3364OT,Other_transportation_equipment
337_Furniture_and_related_products,337,Furniture_and_related_products
339_Miscellaneous_manufacturing,339,Miscellaneous_manufacturing
311FT_Food_and_beverage_and_tobacco_products,311FT,Food_and_beverage_and_tobacco_products
313TT_Textile_mills_and_textile_product_mills,313TT,Textile_mills_and_textile_product_mills
315AL_Apparel_and_leather_and_allied_products,315AL,Apparel_and_leather_and_allied_products
322_Paper_products,322,Paper_products
323_Printing_and_related_support_activities,323,Printing_and_related_support_activities
324_Petroleum_and_coal_products,324,Petroleum_and_coal_products
325_Chemical_products,325,Chemical_products
326_Plastics_and_rubber_products,326,Plastics_and_rubber_products
42_Wholesale_trade,42,Wholesale_trade
44RT_Retail_trade,44RT,Retail_trade
48_Transportation,48,Transportation
493_Warehousing_and_storage,493,Warehousing_and_storage
51_Information,51,Information
52_Finance_and_insurance,52,Finance_and_insurance
531_Real_estate,531,Real_estate
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets
54_Professional_scientific_and_technical_services,54,Professional_scientific_and_technical_services
55_Management_of_companies_and_enterprises,55,Management_of_companies_and_enterprises
56_Administrative_and_waste_management_services,56,Administrative_and_waste_management_services
61_Educational_services,61,Educational_services
62_Health_care_and_social_assistance,62,Health_care_and_social_assistance
71_Arts_entertainment_and_recreation,71,Arts_entertainment_and_recreation
721_Accommodation,721,Accommodation
722_Food_services_and_drinking_places,722,Food_services_and_drinking_places
81_Other_services_except_government,81,Other_services_except_government
GFG_Federal_general_government,GFG,Federal_general_government
GFE_Federal_government_enterprises,GFE,Federal_government_enterprises
GSLG_State_and_local_general_government,GSLG,State_and_local_general_government
GSLE_State_and_local_government_enterprises,GSLE,State_and_local_government_enterprises
